College,Course,Seat,Category,Rank,Percentile
"Government College of Engineering, Amravati",Civil Engineering,I,,40878,77.6308856
"Government College of Engineering, Amravati",Civil Engineering,I,,59564,65.5958943
"Government College of Engineering, Amravati",Civil Engineering,I,,79827,50.5614783
"Government College of Engineering, Amravati",Civil Engineering,I,,54948,68.7024004
"Government College of Engineering, Amravati",Civil Engineering,I,,52709,70.2135829
"Government College of Engineering, Amravati",Civil Engineering,I,,68001,59.5292331
"Government College of Engineering, Amravati",Civil Engineering,I,,44497,75.4846987
"Government College of Engineering, Amravati",Civil Engineering,I,,32388,82.424443
"Government College of Engineering, Amravati",Civil Engineering,I,,35680,80.5501725
"Government College of Engineering, Amravati",Civil Engineering,I,,70732,57.4413646
"Government College of Engineering, Amravati",Civil Engineering,I,,39863,78.1473584
"Government College of Engineering, Amravati",Civil Engineering,I,,78568,51.2359011
"Government College of Engineering, Amravati",Civil Engineering,I,,36594,80.1068911
"Government College of Engineering, Amravati",Civil Engineering,I,,69892,57.7165019
"Government College of Engineering, Amravati",Civil Engineering,I,,39047,78.482599
"Government College of Engineering, Amravati",Civil Engineering,VII,,41635,77.0666918
"Government College of Engineering, Amravati",Computer Science and Engineering,I,,6665,96.3108357
"Government College of Engineering, Amravati",Computer Science and Engineering,I,,10230,94.4417452
"Government College of Engineering, Amravati",Computer Science and Engineering,I,,9230,94.9538024
"Government College of Engineering, Amravati",Computer Science and Engineering,I,,11944,93.5601746
"Government College of Engineering, Amravati",Computer Science and Engineering,I,,7323,95.9583037
"Government College of Engineering, Amravati",Computer Science and Engineering,I,,5798,96.774658
"Government College of Engineering, Amravati",Computer Science and Engineering,I,,12206,93.4206172
"Government College of Engineering, Amravati",Computer Science and Engineering,I,,76042,53.7302794
"Government College of Engineering, Amravati",Computer Science and Engineering,I,,22926,87.6299679
"Government College of Engineering, Amravati",Computer Science and Engineering,I,,6732,96.2887283
"Government College of Engineering, Amravati",Computer Science and Engineering,I,,9088,95.0512832
"Government College of Engineering, Amravati",Computer Science and Engineering,VII,,6936,96.1795056
"Government College of Engineering, Amravati",Information Technology,I,,8951,95.1149971
"Government College of Engineering, Amravati",Information Technology,I,,10484,94.29291
"Government College of Engineering, Amravati",Information Technology,I,,45550,74.5211181
"Government College of Engineering, Amravati",Information Technology,I,,18044,90.3376471
"Government College of Engineering, Amravati",Information Technology,I,,10438,94.3125425
"Government College of Engineering, Amravati",Information Technology,I,,9767,94.6591943
"Government College of Engineering, Amravati",Information Technology,I,,8061,95.582729
"Government College of Engineering, Amravati",Information Technology,I,,16255,91.2295664
"Government College of Engineering, Amravati",Information Technology,I,,9512,94.8367501
"Government College of Engineering, Amravati",Information Technology,I,,82853,47.8470482
"Government College of Engineering, Amravati",Information Technology,I,,7744,95.7632883
"Government College of Engineering, Amravati",Information Technology,I,,118588,7.0709457
"Government College of Engineering, Amravati",Information Technology,I,,11322,93.8349561
"Government College of Engineering, Amravati",Information Technology,VII,,9418,94.8726477
"Government College of Engineering, Amravati",Electrical Engineering,I,,26874,85.606492
"Government College of Engineering, Amravati",Electrical Engineering,I,,39110,78.482599
"Government College of Engineering, Amravati",Electrical Engineering,I,,71516,56.8099848
"Government College of Engineering, Amravati",Electrical Engineering,I,,67364,60.0860804
"Government College of Engineering, Amravati",Electrical Engineering,I,,40465,77.9458986
"Government College of Engineering, Amravati",Electrical Engineering,I,,28241,84.8614274
"Government College of Engineering, Amravati",Electrical Engineering,I,,24881,86.5576404
"Government College of Engineering, Amravati",Electrical Engineering,I,,32567,82.4069575
"Government College of Engineering, Amravati",Electrical Engineering,I,,94210,36.1623265
"Government College of Engineering, Amravati",Electrical Engineering,I,,71089,57.2112851
"Government College of Engineering, Amravati",Electrical Engineering,I,,26950,85.5965895
"Government College of Engineering, Amravati",Electrical Engineering,I,,77884,51.6740911
"Government College of Engineering, Amravati",Electrical Engineering,I,,18945,89.8715578
"Government College of Engineering, Amravati",Electrical Engineering,I,,36609,80.1068911
"Government College of Engineering, Amravati",Electrical Engineering,I,,26357,85.7967175
"Government College of Engineering, Amravati",Electrical Engineering,VII,,29026,84.2234647
"Government College of Engineering, Amravati",Electronics and Telecommunication Engg,I,,12396,93.3030001
"Government College of Engineering, Amravati",Electronics and Telecommunication Engg,I,,16707,91.0449886
"Government College of Engineering, Amravati",Electronics and Telecommunication Engg,I,,54389,69.1685966
"Government College of Engineering, Amravati",Electronics and Telecommunication Engg,I,,14276,92.287017
"Government College of Engineering, Amravati",Electronics and Telecommunication Engg,I,,12571,93.1795623
"Government College of Engineering, Amravati",Electronics and Telecommunication Engg,I,,20794,88.795558
"Government College of Engineering, Amravati",Electronics and Telecommunication Engg,I,,25808,86.1713847
"Government College of Engineering, Amravati",Electronics and Telecommunication Engg,I,,32970,82.1909278
"Government College of Engineering, Amravati",Electronics and Telecommunication Engg,I,,15097,91.8885683
"Government College of Engineering, Amravati",Electronics and Telecommunication Engg,I,,11804,93.5731551
"Government College of Engineering, Amravati",Electronics and Telecommunication Engg,I,,92097,39.3128682
"Government College of Engineering, Amravati",Electronics and Telecommunication Engg,I,,15474,91.6047864
"Government College of Engineering, Amravati",Electronics and Telecommunication Engg,VII,,14702,92.0451859
"Government College of Engineering, Amravati",Instrumentation Engineering,I,,52428,70.7220669
"Government College of Engineering, Amravati",Instrumentation Engineering,I,,63573,63.050238
"Government College of Engineering, Amravati",Instrumentation Engineering,I,,104226,25.8381109
"Government College of Engineering, Amravati",Instrumentation Engineering,I,,53712,69.5290454
"Government College of Engineering, Amravati",Instrumentation Engineering,I,,25338,86.3666603
"Government College of Engineering, Amravati",Instrumentation Engineering,I,,37632,79.5309168
"Government College of Engineering, Amravati",Instrumentation Engineering,I,,46996,74.0962113
"Government College of Engineering, Amravati",Instrumentation Engineering,I,,94502,36.1594098
"Government College of Engineering, Amravati",Instrumentation Engineering,I,,60936,64.516129
"Government College of Engineering, Amravati",Instrumentation Engineering,I,,49188,72.6414198
"Government College of Engineering, Amravati",Instrumentation Engineering,VII,,54273,69.3404295
"Government College of Engineering, Amravati",Instrumentation Engineering,VII,,53413,69.6045087
"Government College of Engineering, Amravati",Mechanical Engineering,I,,39246,78.3504176
"Government College of Engineering, Amravati",Mechanical Engineering,I,,41879,77.0311313
"Government College of Engineering, Amravati",Mechanical Engineering,I,,60319,65.2400587
"Government College of Engineering, Amravati",Mechanical Engineering,I,,67811,59.6829046
"Government College of Engineering, Amravati",Mechanical Engineering,I,,86920,43.3167495
"Government College of Engineering, Amravati",Mechanical Engineering,I,,45093,74.9700023
"Government College of Engineering, Amravati",Mechanical Engineering,I,,40345,78.0555027
"Government College of Engineering, Amravati",Mechanical Engineering,I,,54914,68.7024004
"Government College of Engineering, Amravati",Mechanical Engineering,I,,74905,54.1664697
"Government College of Engineering, Amravati",Mechanical Engineering,I,,44114,75.6049358
"Government College of Engineering, Amravati",Mechanical Engineering,I,,93033,38.5667023
"Government College of Engineering, Amravati",Mechanical Engineering,I,,26526,85.6913808
"Government College of Engineering, Amravati",Mechanical Engineering,I,,54087,69.3404295
"Government College of Engineering, Amravati",Mechanical Engineering,II,,78057,51.2600953
"Government College of Engineering, Amravati",Mechanical Engineering,I,,39532,78.3496848
"Government College of Engineering, Amravati",Mechanical Engineering,I,,39969,78.1473584
"Government College of Engineering, Amravati",Mechanical Engineering,VII,,40694,77.8495773
"Sant Gadge Baba Amravati University,Amravati",Food Technology,I,Stage,96679,34.6668564
"Sant Gadge Baba Amravati University,Amravati",Food Technology,I,GOPENH,106795,23.121138
"Sant Gadge Baba Amravati University,Amravati",Food Technology,I,GVJH,97137,33.5099087
"Sant Gadge Baba Amravati University,Amravati",Food Technology,I,GOBCH,76270,53.7001897
"Sant Gadge Baba Amravati University,Amravati",Food Technology,I,LOPENH,80648,49.0525702
"Sant Gadge Baba Amravati University,Amravati",Food Technology,I,Stage,86730,43.3167495
"Sant Gadge Baba Amravati University,Amravati",Food Technology,I,Stage,85062,45.6704109
"Sant Gadge Baba Amravati University,Amravati",Food Technology,I,GOPENH,67100,60.5043241
"Sant Gadge Baba Amravati University,Amravati",Food Technology,I,Stage,76092,53.7302794
"Sant Gadge Baba Amravati University,Amravati",Food Technology,I,Stage,64889,61.8814494
"Sant Gadge Baba Amravati University,Amravati",Food Technology,I,Stage,78020,51.2600953
"Sant Gadge Baba Amravati University,Amravati",Oil and Paints Technology,I,Stage,79162,50.9996691
"Sant Gadge Baba Amravati University,Amravati",Oil and Paints Technology,I,GOPENH,91861,39.4196471
"Sant Gadge Baba Amravati University,Amravati",Oil and Paints Technology,I,Stage,53427,69.6045087
"Sant Gadge Baba Amravati University,Amravati",Oil and Paints Technology,I,GOPENH,114359,13.5287968
"Sant Gadge Baba Amravati University,Amravati",Oil and Paints Technology,I,Stage,60827,64.7353734
"Sant Gadge Baba Amravati University,Amravati",Paper and Pulp Technology,I,Stage,122057,1.1966135
"Sant Gadge Baba Amravati University,Amravati",Petro Chemical Engineering,I,Stage,110225,18.840167
"Sant Gadge Baba Amravati University,Amravati",Petro Chemical Engineering,I,GOPENH,110078,19.1072714
"Sant Gadge Baba Amravati University,Amravati",Petro Chemical Engineering,I,Stage,77606,51.9313711
"Government College of Engineering,Yavatmal",Civil Engineering,I,,82211,48.2193247
"Government College of Engineering,Yavatmal",Civil Engineering,I,,116736,10.0599952
"Government College of Engineering,Yavatmal",Civil Engineering,I,,95089,35.8351101
"Government College of Engineering,Yavatmal",Civil Engineering,I,,95214,35.8351101
"Government College of Engineering,Yavatmal",Civil Engineering,I,,83614,46.4456321
"Government College of Engineering,Yavatmal",Civil Engineering,I,,93377,38.17388
"Government College of Engineering,Yavatmal",Civil Engineering,I,,66207,60.7344231
"Government College of Engineering,Yavatmal",Civil Engineering,I,,73575,55.2181517
"Government College of Engineering,Yavatmal",Civil Engineering,I,,87733,42.8034319
"Government College of Engineering,Yavatmal",Civil Engineering,VII,,93400,38.17388
"Government College of Engineering,Yavatmal",Civil Engineering,VII,,92465,39.1582539
"Government College of Engineering,Yavatmal",Civil Engineering,I,,74156,54.5241174
"Government College of Engineering,Yavatmal",Civil Engineering,I,,84707,45.9187639
"Government College of Engineering,Yavatmal",Civil Engineering,I,,98091,32.4992712
"Government College of Engineering,Yavatmal",Civil Engineering,I,,112592,15.6956852
"Government College of Engineering,Yavatmal",Civil Engineering,I,,103999,26.2202423
"Government College of Engineering,Yavatmal",Civil Engineering,I,,87613,43.0138429
"Government College of Engineering,Yavatmal",Civil Engineering,I,,60073,65.2400587
"Government College of Engineering,Yavatmal",Civil Engineering,I,,69306,58.8006082
"Government College of Engineering,Yavatmal",Civil Engineering,VII,,87817,42.8034319
"Government College of Engineering,Yavatmal",Civil Engineering,I,Stage,78342,51.2359011
"Government College of Engineering,Yavatmal",Civil Engineering,I,Stage,76929,52.4476185
"Government College of Engineering,Yavatmal",Civil Engineering,VII,Stage,89446,41.9139826
"Government College of Engineering,Yavatmal",Computer Engineering,I,,25822,86.1713847
"Government College of Engineering,Yavatmal",Computer Engineering,I,,31365,83.1461738
"Government College of Engineering,Yavatmal",Computer Engineering,I,,90296,41.1873138
"Government College of Engineering,Yavatmal",Computer Engineering,I,,31183,83.1650789
"Government College of Engineering,Yavatmal",Computer Engineering,I,,41536,77.0666918
"Government College of Engineering,Yavatmal",Computer Engineering,I,,27290,85.2528023
"Government College of Engineering,Yavatmal",Computer Engineering,I,,34365,81.4109415
"Government College of Engineering,Yavatmal",Computer Engineering,I,,24391,86.9162467
"Government College of Engineering,Yavatmal",Computer Engineering,I,Stage,18342,90.1214727
"Government College of Engineering,Yavatmal",Computer Engineering,I,GOPENO,23284,87.4346052
"Government College of Engineering,Yavatmal",Computer Engineering,I,GSCO,32396,82.424443
"Government College of Engineering,Yavatmal",Computer Engineering,I,GVJO,19063,89.7480201
"Government College of Engineering,Yavatmal",Computer Engineering,I,GOBCO,20837,88.795558
"Government College of Engineering,Yavatmal",Computer Engineering,I,LOPENO,32511,82.4069575
"Government College of Engineering,Yavatmal",Computer Engineering,I,LSCO,21125,88.6475955
"Government College of Engineering,Yavatmal",Computer Engineering,I,Stage,20423,89.0325033
"Government College of Engineering,Yavatmal",Computer Engineering,I,GOPENO,23894,87.0828062
"Government College of Engineering,Yavatmal",Computer Engineering,VII,Stage,19770,89.3887863
"Government College of Engineering,Yavatmal",Electrical Engineering,I,,69843,57.9292585
"Government College of Engineering,Yavatmal",Electrical Engineering,I,,77427,51.9313711
"Government College of Engineering,Yavatmal",Electrical Engineering,I,,73449,55.2181517
"Government College of Engineering,Yavatmal",Electrical Engineering,I,,72593,56.3628587
"Government College of Engineering,Yavatmal",Electrical Engineering,I,,79858,50.5614783
"Government College of Engineering,Yavatmal",Electrical Engineering,I,,55708,68.2985361
"Government College of Engineering,Yavatmal",Electrical Engineering,I,,77244,52.2301039
"Government College of Engineering,Yavatmal",Electrical Engineering,I,,75355,53.926243
"Government College of Engineering,Yavatmal",Electrical Engineering,I,,63463,63.050238
"Government College of Engineering,Yavatmal",Electrical Engineering,VII,,74091,54.5241174
"Government College of Engineering,Yavatmal",Electrical Engineering,VII,,73707,54.912555
"Government College of Engineering,Yavatmal",Electrical Engineering,I,,51244,71.1253958
"Government College of Engineering,Yavatmal",Electrical Engineering,I,,61458,64.0609282
"Government College of Engineering,Yavatmal",Electrical Engineering,I,,75065,54.124615
"Government College of Engineering,Yavatmal",Electrical Engineering,I,,89544,41.9139826
"Government College of Engineering,Yavatmal",Electrical Engineering,I,,87762,42.8034319
"Government College of Engineering,Yavatmal",Electrical Engineering,I,,56900,67.447284
"Government College of Engineering,Yavatmal",Electrical Engineering,I,,47930,72.9031949
"Government College of Engineering,Yavatmal",Electrical Engineering,I,,52204,70.8665527
"Government College of Engineering,Yavatmal",Electrical Engineering,I,,66213,60.7344231
"Government College of Engineering,Yavatmal",Electrical Engineering,I,Stage,52444,70.7220669
"Government College of Engineering,Yavatmal",Electrical Engineering,I,DEFOPENS,58506,66.2395008
"Government College of Engineering,Yavatmal",Electrical Engineering,I,Stage,57288,67.1125395
"Government College of Engineering,Yavatmal",Electrical Engineering,VII,Stage,60338,65.2400587
"Government College of Engineering,Yavatmal",Electronics and Telecommunication Engg,I,,48534,72.8897104
"Government College of Engineering,Yavatmal",Electronics and Telecommunication Engg,I,,64416,62.0823842
"Government College of Engineering,Yavatmal",Electronics and Telecommunication Engg,I,,58368,66.4465439
"Government College of Engineering,Yavatmal",Electronics and Telecommunication Engg,I,,60776,64.7353734
"Government College of Engineering,Yavatmal",Electronics and Telecommunication Engg,I,,58556,66.2395008
"Government College of Engineering,Yavatmal",Electronics and Telecommunication Engg,I,,51765,70.9263207
"Government College of Engineering,Yavatmal",Electronics and Telecommunication Engg,I,,41625,77.0666918
"Government College of Engineering,Yavatmal",Electronics and Telecommunication Engg,I,,53599,69.5290454
"Government College of Engineering,Yavatmal",Electronics and Telecommunication Engg,I,,44418,75.5619344
"Government College of Engineering,Yavatmal",Electronics and Telecommunication Engg,I,,49443,72.5765063
"Government College of Engineering,Yavatmal",Electronics and Telecommunication Engg,VII,,54743,69.0394836
"Government College of Engineering,Yavatmal",Electronics and Telecommunication Engg,I,Stage,95747,35.6598862
"Government College of Engineering,Yavatmal",Electronics and Telecommunication Engg,I,Stage,37905,79.4729608
"Government College of Engineering,Yavatmal",Electronics and Telecommunication Engg,I,LSTH,83561,46.4456321
"Government College of Engineering,Yavatmal",Electronics and Telecommunication Engg,I,LSTH,79004,50.9996691
"Government College of Engineering,Yavatmal",Electronics and Telecommunication Engg,I,LSTH,92546,38.9943074
"Government College of Engineering,Yavatmal",Electronics and Telecommunication Engg,I,LSTH,41718,77.0311313
"Government College of Engineering,Yavatmal",Electronics and Telecommunication Engg,I,LSTH,30727,83.3246679
"Government College of Engineering,Yavatmal",Electronics and Telecommunication Engg,I,LSTH,55875,68.2985361
"Government College of Engineering,Yavatmal",Electronics and Telecommunication Engg,I,LSTH,35955,80.4540499
"Government College of Engineering,Yavatmal",Electronics and Telecommunication Engg,I,Stage,39543,78.3496848
"Government College of Engineering,Yavatmal",Electronics and Telecommunication Engg,I,LSTH,28138,84.8685155
"Government College of Engineering,Yavatmal",Electronics and Telecommunication Engg,I,Stage,51800,70.9263207
"Government College of Engineering,Yavatmal",Electronics and Telecommunication Engg,VII,Stage,42885,76.4889836
"Government College of Engineering,Yavatmal",Mechanical Engineering,I,Stage,81535,48.7700838
"Government College of Engineering,Yavatmal",Mechanical Engineering,I,GOPENH,83810,46.4456321
"Government College of Engineering,Yavatmal",Mechanical Engineering,I,GSCH,93454,38.17388
"Government College of Engineering,Yavatmal",Mechanical Engineering,I,GSTH,80388,49.4442605
"Government College of Engineering,Yavatmal",Mechanical Engineering,I,Stage,89439,41.9139826
"Government College of Engineering,Yavatmal",Mechanical Engineering,VII,Stage,83211,46.941483
"Government College of Engineering,Yavatmal",Mechanical Engineering,VII,GOPENH,86275,44.7418375
"Government College of Engineering,Yavatmal",Mechanical Engineering,I,Stage,60947,64.4979119
"Government College of Engineering,Yavatmal",Mechanical Engineering,I,GOPENH,84304,45.9884082
"Government College of Engineering,Yavatmal",Mechanical Engineering,I,GSCH,99408,32.1061359
"Government College of Engineering,Yavatmal",Mechanical Engineering,I,GSTH,77009,52.2301039
"Government College of Engineering,Yavatmal",Mechanical Engineering,I,GOBCH,83875,46.1727561
"Government College of Engineering,Yavatmal",Mechanical Engineering,I,LOPENH,86091,44.7418375
"Government College of Engineering,Yavatmal",Mechanical Engineering,VII,Stage,69805,57.9292585
"Government College of Engineering,Yavatmal",Mechanical Engineering,I,Stage,102260,28.4814025
"Government College of Engineering,Yavatmal",Mechanical Engineering,I,Stage,59894,65.2657662
"Government College of Engineering,Yavatmal",Mechanical Engineering,I,GOPENH,92075,39.3128682
"Government College of Engineering,Yavatmal",Mechanical Engineering,I,Stage,63807,62.3954246
"Government College of Engineering,Yavatmal",Mechanical Engineering,VII,Stage,77474,51.9313711
"Shri Sant Gajanan Maharaj College of Engineering,Shegaon",Computer Science and Engineering,I,,12178,93.4562615
"Shri Sant Gajanan Maharaj College of Engineering,Shegaon",Computer Science and Engineering,I,,28196,84.8685155
"Shri Sant Gajanan Maharaj College of Engineering,Shegaon",Computer Science and Engineering,I,,22005,88.1374722
"Shri Sant Gajanan Maharaj College of Engineering,Shegaon",Computer Science and Engineering,I,,13860,92.5464629
"Shri Sant Gajanan Maharaj College of Engineering,Shegaon",Computer Science and Engineering,I,,24489,86.8703589
"Shri Sant Gajanan Maharaj College of Engineering,Shegaon",Computer Science and Engineering,I,Stage,108575,20.8205322
"Shri Sant Gajanan Maharaj College of Engineering,Shegaon",Computer Science and Engineering,I,Stage,30839,83.3155184
"Shri Sant Gajanan Maharaj College of Engineering,Shegaon",Computer Science and Engineering,I,PWDOPENH,24322,86.9162467
"Shri Sant Gajanan Maharaj College of Engineering,Shegaon",Computer Science and Engineering,I,PWDOPENH,11439,93.774898
"Shri Sant Gajanan Maharaj College of Engineering,Shegaon",Computer Science and Engineering,I,PWDOPENH,16878,90.9190268
"Shri Sant Gajanan Maharaj College of Engineering,Shegaon",Information Technology,I,,16392,91.1518646
"Shri Sant Gajanan Maharaj College of Engineering,Shegaon",Information Technology,I,,78164,51.2600953
"Shri Sant Gajanan Maharaj College of Engineering,Shegaon",Information Technology,I,,28023,84.8888044
"Shri Sant Gajanan Maharaj College of Engineering,Shegaon",Information Technology,I,,16744,90.9383249
"Shri Sant Gajanan Maharaj College of Engineering,Shegaon",Information Technology,I,,29486,84.1495823
"Shri Sant Gajanan Maharaj College of Engineering,Shegaon",Information Technology,I,,16590,91.0917582
"Shri Sant Gajanan Maharaj College of Engineering,Shegaon",Information Technology,I,,15563,91.5890515
"Shri Sant Gajanan Maharaj College of Engineering,Shegaon",Information Technology,I,Stage,54321,69.1685966
"Shri Sant Gajanan Maharaj College of Engineering,Shegaon",Information Technology,I,Stage,17562,90.5279576
"Shri Sant Gajanan Maharaj College of Engineering,Shegaon",Information Technology,I,LSTH,33118,81.9995261
"Shri Sant Gajanan Maharaj College of Engineering,Shegaon",Information Technology,I,Stage,17345,90.6725437
"Shri Sant Gajanan Maharaj College of Engineering,Shegaon",Information Technology,I,GOPENO,17745,90.4382847
"Shri Sant Gajanan Maharaj College of Engineering,Shegaon",Information Technology,I,Stage,54531,69.1685966
"Shri Sant Gajanan Maharaj College of Engineering,Shegaon",Information Technology,I,LSTH,21055,88.664007
"Shri Sant Gajanan Maharaj College of Engineering,Shegaon",Electrical Engg[Electronics and Power],I,,53068,69.7082914
"Shri Sant Gajanan Maharaj College of Engineering,Shegaon",Electrical Engg[Electronics and Power],I,,88398,42.5186027
"Shri Sant Gajanan Maharaj College of Engineering,Shegaon",Electrical Engg[Electronics and Power],I,,59810,65.2657662
"Shri Sant Gajanan Maharaj College of Engineering,Shegaon",Electrical Engg[Electronics and Power],I,,54121,69.3404295
"Shri Sant Gajanan Maharaj College of Engineering,Shegaon",Electrical Engg[Electronics and Power],I,,53432,69.6045087
"Shri Sant Gajanan Maharaj College of Engineering,Shegaon",Electrical Engg[Electronics and Power],I,,37799,79.4751328
"Shri Sant Gajanan Maharaj College of Engineering,Shegaon",Electrical Engg[Electronics and Power],I,,60400,64.886326
"Shri Sant Gajanan Maharaj College of Engineering,Shegaon",Electrical Engg[Electronics and Power],I,,51804,70.9263207
"Shri Sant Gajanan Maharaj College of Engineering,Shegaon",Electrical Engg[Electronics and Power],VII,,54829,69.0394836
"Shri Sant Gajanan Maharaj College of Engineering,Shegaon",Electrical Engg[Electronics and Power],I,Stage,56621,67.4824177
"Shri Sant Gajanan Maharaj College of Engineering,Shegaon",Electrical Engg[Electronics and Power],I,GOPENO,57908,66.5894149
"Shri Sant Gajanan Maharaj College of Engineering,Shegaon",Electrical Engg[Electronics and Power],I,GSTO,53986,69.3871747
"Shri Sant Gajanan Maharaj College of Engineering,Shegaon",Electrical Engg[Electronics and Power],VII,Stage,59217,66.0248119
"Shri Sant Gajanan Maharaj College of Engineering,Shegaon",Electrical Engg[Electronics and Power],I,Stage,32774,82.3797757
"Shri Sant Gajanan Maharaj College of Engineering,Shegaon",Electrical Engg[Electronics and Power],I,Stage,50784,71.2367422
"Shri Sant Gajanan Maharaj College of Engineering,Shegaon",Electronics and Telecommunication Engg,I,Stage,28548,84.5764555
"Shri Sant Gajanan Maharaj College of Engineering,Shegaon",Electronics and Telecommunication Engg,I,GOPENH,48114,72.8974176
"Shri Sant Gajanan Maharaj College of Engineering,Shegaon",Electronics and Telecommunication Engg,I,GSCH,119217,5.9143931
"Shri Sant Gajanan Maharaj College of Engineering,Shegaon",Electronics and Telecommunication Engg,I,GSTH,30587,83.4045178
"Shri Sant Gajanan Maharaj College of Engineering,Shegaon",Electronics and Telecommunication Engg,I,GOBCH,21386,88.4908068
"Shri Sant Gajanan Maharaj College of Engineering,Shegaon",Electronics and Telecommunication Engg,I,LOPENH,29975,83.8902317
"Shri Sant Gajanan Maharaj College of Engineering,Shegaon",Electronics and Telecommunication Engg,I,Stage,31462,83.1461738
"Shri Sant Gajanan Maharaj College of Engineering,Shegaon",Electronics and Telecommunication Engg,VII,Stage,31134,83.2284916
"Shri Sant Gajanan Maharaj College of Engineering,Shegaon",Electronics and Telecommunication Engg,I,Stage,30397,83.4474115
"Shri Sant Gajanan Maharaj College of Engineering,Shegaon",Electronics and Telecommunication Engg,I,GOPENH,43033,76.4889836
"Shri Sant Gajanan Maharaj College of Engineering,Shegaon",Electronics and Telecommunication Engg,I,GSCH,79518,50.816249
"Shri Sant Gajanan Maharaj College of Engineering,Shegaon",Electronics and Telecommunication Engg,I,GSTH,31058,83.2284916
"Shri Sant Gajanan Maharaj College of Engineering,Shegaon",Electronics and Telecommunication Engg,I,GOBCH,19293,89.5427623
"Shri Sant Gajanan Maharaj College of Engineering,Shegaon",Electronics and Telecommunication Engg,I,LOPENH,25115,86.5103056
"Shri Sant Gajanan Maharaj College of Engineering,Shegaon",Electronics and Telecommunication Engg,VII,Stage,32107,82.59776
"Shri Sant Gajanan Maharaj College of Engineering,Shegaon",Electronics and Telecommunication Engg,I,Stage,59788,65.5958943
"Shri Sant Gajanan Maharaj College of Engineering,Shegaon",Electronics and Telecommunication Engg,I,GOPENH,18192,90.269681
"Shri Sant Gajanan Maharaj College of Engineering,Shegaon",Electronics and Telecommunication Engg,I,GSCH,72126,56.5826603
"Shri Sant Gajanan Maharaj College of Engineering,Shegaon",Electronics and Telecommunication Engg,I,GSTH,38573,79.0746326
"Shri Sant Gajanan Maharaj College of Engineering,Shegaon",Electronics and Telecommunication Engg,VII,Stage,31344,83.1461738
"Shri Sant Gajanan Maharaj College of Engineering,Shegaon",Mechanical Engineering,I,Stage,62852,63.5478045
"Shri Sant Gajanan Maharaj College of Engineering,Shegaon",Mechanical Engineering,I,GOPENH,65460,61.6697194
"Shri Sant Gajanan Maharaj College of Engineering,Shegaon",Mechanical Engineering,I,GSCH,63827,62.3954246
"Shri Sant Gajanan Maharaj College of Engineering,Shegaon",Mechanical Engineering,I,GSTH,75817,53.8866742
"Shri Sant Gajanan Maharaj College of Engineering,Shegaon",Mechanical Engineering,I,Stage,61055,64.4979119
"Shri Sant Gajanan Maharaj College of Engineering,Shegaon",Mechanical Engineering,VII,Stage,67392,60.0860804
"Shri Sant Gajanan Maharaj College of Engineering,Shegaon",Mechanical Engineering,VII,GOPENH,65213,61.6697194
"Shri Sant Gajanan Maharaj College of Engineering,Shegaon",Mechanical Engineering,I,Stage,39499,78.3496848
"Shri Sant Gajanan Maharaj College of Engineering,Shegaon",Mechanical Engineering,I,GOPENH,57467,67.1125395
"Shri Sant Gajanan Maharaj College of Engineering,Shegaon",Mechanical Engineering,I,GSCH,121279,2.6528094
"Shri Sant Gajanan Maharaj College of Engineering,Shegaon",Mechanical Engineering,VII,Stage,66521,60.6284658
"Shri Sant Gajanan Maharaj College of Engineering,Shegaon",Mechanical Engineering,I,Stage,65343,61.6697194
"Shri Sant Gajanan Maharaj College of Engineering,Shegaon",Mechanical Engineering,I,Stage,54027,69.3404295
"Shri Sant Gajanan Maharaj College of Engineering,Shegaon",Mechanical Engineering,I,Stage,59084,66.0248119
"Prof. Ram Meghe Institute of Technology & Research, Amravati",Civil Engineering,I,,90383,39.8713522
"Prof. Ram Meghe Institute of Technology & Research, Amravati",Civil Engineering,I,,99558,31.7734581
"Prof. Ram Meghe Institute of Technology & Research, Amravati",Civil Engineering,I,,108421,21.2317049
"Prof. Ram Meghe Institute of Technology & Research, Amravati",Civil Engineering,I,,94189,36.1623265
"Prof. Ram Meghe Institute of Technology & Research, Amravati",Civil Engineering,I,,78448,51.2359011
"Prof. Ram Meghe Institute of Technology & Research, Amravati",Civil Engineering,I,,99831,31.5015186
"Prof. Ram Meghe Institute of Technology & Research, Amravati",Civil Engineering,I,,118553,7.0709457
"Prof. Ram Meghe Institute of Technology & Research, Amravati",Civil Engineering,I,,89625,41.9139826
"Prof. Ram Meghe Institute of Technology & Research, Amravati",Civil Engineering,I,,90473,39.8713522
"Prof. Ram Meghe Institute of Technology & Research, Amravati",Civil Engineering,I,,96186,35.1475881
"Prof. Ram Meghe Institute of Technology & Research, Amravati",Civil Engineering,VII,,101586,28.9481366
"Prof. Ram Meghe Institute of Technology & Research, Amravati",Civil Engineering,VII,,99582,31.7734581
"Prof. Ram Meghe Institute of Technology & Research, Amravati",Civil Engineering,VII,,97056,34.1210946
"Prof. Ram Meghe Institute of Technology & Research, Amravati",Civil Engineering,I,Stage,114347,13.5287968
"Prof. Ram Meghe Institute of Technology & Research, Amravati",Civil Engineering,I,Stage,90683,39.6081812
"Prof. Ram Meghe Institute of Technology & Research, Amravati",Civil Engineering,I,GOPENO,102251,28.4814025
